Airport,Airport Code,Year,Month,TOTAL
Washighton Dulles International,IAD,2012,1,"785,579"
Washighton Dulles International,IAD,2012,2,"724,980"
Washighton Dulles International,IAD,2012,3,"916,911"
Washighton Dulles International,IAD,2012,4,"918,012"
Washighton Dulles International,IAD,2012,5,"990,182"
Washighton Dulles International,IAD,2012,6,"1,016,857"
Washighton Dulles International,IAD,2012,7,"1,000,200"
Washighton Dulles International,IAD,2012,8,"985,006"
Washighton Dulles International,IAD,2012,9,"874,784"
Washighton Dulles International,IAD,2012,10,"864,500"
Washighton Dulles International,IAD,2012,11,"843,288"
Washighton Dulles International,IAD,2012,12,"865,224"
Washighton Dulles International,IAD,2012,TOTAL,"10,785,523"
Washighton Dulles International,IAD,2013,1,"771,430"
Washighton Dulles International,IAD,2013,2,"685,085"
Washighton Dulles International,IAD,2013,3,"870,330"
Washighton Dulles International,IAD,2013,4,"853,161"
Washighton Dulles International,IAD,2013,5,"957,753"
Washighton Dulles International,IAD,2013,6,"1,003,897"
Washighton Dulles International,IAD,2013,7,"1,000,471"
Washighton Dulles International,IAD,2013,8,"987,020"
Washighton Dulles International,IAD,2013,9,"854,707"
Washighton Dulles International,IAD,2013,10,"887,745"
Washighton Dulles International,IAD,2013,11,"808,416"
Washighton Dulles International,IAD,2013,12,"863,806"
Washighton Dulles International,IAD,2013,TOTAL,"10,543,821"
Washighton Dulles International,IAD,2014,1,"728,987"
Washighton Dulles International,IAD,2014,2,"622,026"
Washighton Dulles International,IAD,2014,3,"837,979"
Washighton Dulles International,IAD,2014,4,"869,074"
Washighton Dulles International,IAD,2014,5,"959,877"
Washighton Dulles International,IAD,2014,6,"981,619"
Washighton Dulles International,IAD,2014,7,"983,178"
Washighton Dulles International,IAD,2014,8,"977,205"
Washighton Dulles International,IAD,2014,9,"874,799"
Washighton Dulles International,IAD,2014,10,"916,037"
Washighton Dulles International,IAD,2014,11,"786,185"
Washighton Dulles International,IAD,2014,12,"856,163"
Washighton Dulles International,IAD,2014,TOTAL,"10,393,129"
Washighton Dulles International,IAD,2015,1,"713,934"
Washighton Dulles International,IAD,2015,2,"608,110"
Washighton Dulles International,IAD,2015,3,"795,513"
Washighton Dulles International,IAD,2015,4,"853,992"
Washighton Dulles International,IAD,2015,5,"968,522"
Washighton Dulles International,IAD,2015,6,"988,818"
Washighton Dulles International,IAD,2015,7,"972,695"
Washighton Dulles International,IAD,2015,8,"1,011,044"
Washighton Dulles International,IAD,2015,9,"891,149"
Washighton Dulles International,IAD,2015,10,"919,554"
Washighton Dulles International,IAD,2015,11,"806,960"
Washighton Dulles International,IAD,2015,12,"844,989"
Washighton Dulles International,IAD,2015,TOTAL,"10,375,280"
Washighton Dulles International,IAD,2016,1,"665,050"
Washighton Dulles International,IAD,2016,2,"632,691"
Washighton Dulles International,IAD,2016,3,"813,660"
Washighton Dulles International,IAD,2016,4,"813,237"
Washighton Dulles International,IAD,2016,5,"954,400"
Washighton Dulles International,IAD,2016,6,"1,026,417"
Washighton Dulles International,IAD,2016,7,"1,054,475"
Washighton Dulles International,IAD,2016,8,"1,025,212"
Washighton Dulles International,IAD,2016,9,"920,430"
Washighton Dulles International,IAD,2016,10,"932,709"
Washighton Dulles International,IAD,2016,11,"849,802"
Washighton Dulles International,IAD,2016,12,"884,861"
Washighton Dulles International,IAD,2016,TOTAL,"10,572,944"
Washighton Dulles International,IAD,2017,1,"757,253"
Washighton Dulles International,IAD,2017,2,"632,417"
Washighton Dulles International,IAD,2017,3,"819,768"
Washighton Dulles International,IAD,2017,4,"911,769"
Washighton Dulles International,IAD,2017,5,"985,634"
Washighton Dulles International,IAD,2017,6,"1,082,971"
Washighton Dulles International,IAD,2017,7,"1,090,038"
Washighton Dulles International,IAD,2017,8,"1,060,550"
Washighton Dulles International,IAD,2017,9,"915,210"
Washighton Dulles International,IAD,2017,10,"963,535"
Washighton Dulles International,IAD,2017,11,"877,280"
Washighton Dulles International,IAD,2017,12,"900,528"
