Airport,Airport Code,Year,Month,TOTAL
Chicago O'Hare International,ORD,2010,4,"2,605,230"
Chicago O'Hare International,ORD,2010,5,"2,857,305"
Chicago O'Hare International,ORD,2010,6,"2,971,269"
Chicago O'Hare International,ORD,2010,7,"3,072,604"
Chicago O'Hare International,ORD,2010,8,"2,999,106"
Chicago O'Hare International,ORD,2010,9,"2,723,362"
Chicago O'Hare International,ORD,2010,10,"2,870,320"
Chicago O'Hare International,ORD,2010,11,"2,553,350"
Chicago O'Hare International,ORD,2010,12,"2,400,174"
Chicago O'Hare International,ORD,2010,TOTAL,"32,146,275"
Chicago O'Hare International,ORD,2011,1,"2,145,182"
Chicago O'Hare International,ORD,2011,2,"2,009,652"
Chicago O'Hare International,ORD,2011,3,"2,753,916"
Chicago O'Hare International,ORD,2011,4,"2,562,734"
Chicago O'Hare International,ORD,2011,5,"2,826,222"
Chicago O'Hare International,ORD,2011,6,"2,945,116"
Chicago O'Hare International,ORD,2011,7,"3,023,168"
Chicago O'Hare International,ORD,2011,8,"2,956,614"
Chicago O'Hare International,ORD,2011,9,"2,732,621"
Chicago O'Hare International,ORD,2011,10,"2,869,856"
Chicago O'Hare International,ORD,2011,11,"2,500,508"
Chicago O'Hare International,ORD,2011,12,"2,515,657"
Chicago O'Hare International,ORD,2011,TOTAL,"31,841,246"
Chicago O'Hare International,ORD,2012,1,"2,225,866"
Chicago O'Hare International,ORD,2012,2,"2,215,019"
Chicago O'Hare International,ORD,2012,3,"2,758,340"
Chicago O'Hare International,ORD,2012,4,"2,620,293"
Chicago O'Hare International,ORD,2012,5,"2,831,266"
Chicago O'Hare International,ORD,2012,6,"2,990,847"
Chicago O'Hare International,ORD,2012,7,"2,987,675"
Chicago O'Hare International,ORD,2012,8,"2,978,668"
Chicago O'Hare International,ORD,2012,9,"2,665,423"
Chicago O'Hare International,ORD,2012,10,"2,805,465"
Chicago O'Hare International,ORD,2012,11,"2,518,013"
Chicago O'Hare International,ORD,2012,12,"2,462,903"
