Airport,Airport Code,Year,Month,TOTAL
Seattle/Tacoma International,SEA,2010,1,"1,065,750"
Seattle/Tacoma International,SEA,2010,2,"992,717"
Seattle/Tacoma International,SEA,2010,3,"1,218,243"
Seattle/Tacoma International,SEA,2010,4,"1,148,204"
Seattle/Tacoma International,SEA,2010,5,"1,254,842"
Seattle/Tacoma International,SEA,2010,6,"1,458,182"
Seattle/Tacoma International,SEA,2010,7,"1,568,684"
Seattle/Tacoma International,SEA,2010,8,"1,583,778"
Seattle/Tacoma International,SEA,2010,9,"1,337,722"
Seattle/Tacoma International,SEA,2010,10,"1,265,602"
Seattle/Tacoma International,SEA,2010,11,"1,193,700"
Seattle/Tacoma International,SEA,2010,12,"1,280,664"
Seattle/Tacoma International,SEA,2010,TOTAL,"15,368,088"
Seattle/Tacoma International,SEA,2011,1,"1,101,498"
Seattle/Tacoma International,SEA,2011,2,"1,028,396"
Seattle/Tacoma International,SEA,2011,3,"1,293,446"
Seattle/Tacoma International,SEA,2011,4,"1,213,555"
Seattle/Tacoma International,SEA,2011,5,"1,332,584"
Seattle/Tacoma International,SEA,2011,6,"1,506,792"
Seattle/Tacoma International,SEA,2011,7,"1,608,642"
Seattle/Tacoma International,SEA,2011,8,"1,647,552"
Seattle/Tacoma International,SEA,2011,9,"1,384,346"
Seattle/Tacoma International,SEA,2011,10,"1,273,582"
Seattle/Tacoma International,SEA,2011,11,"1,231,611"
Seattle/Tacoma International,SEA,2011,12,"1,308,914"
Seattle/Tacoma International,SEA,2011,TOTAL,"15,930,918"
Seattle/Tacoma International,SEA,2012,1,"1,090,320"
Seattle/Tacoma International,SEA,2012,2,"1,083,223"
Seattle/Tacoma International,SEA,2012,3,"1,311,444"
Seattle/Tacoma International,SEA,2012,4,"1,242,564"
Seattle/Tacoma International,SEA,2012,5,"1,330,310"
Seattle/Tacoma International,SEA,2012,6,"1,531,958"
Seattle/Tacoma International,SEA,2012,7,"1,629,376"
Seattle/Tacoma International,SEA,2012,8,"1,662,165"
Seattle/Tacoma International,SEA,2012,9,"1,376,264"
Seattle/Tacoma International,SEA,2012,10,"1,289,100"
Seattle/Tacoma International,SEA,2012,11,"1,238,176"
Seattle/Tacoma International,SEA,2012,12,"1,299,645"
Seattle/Tacoma International,SEA,2012,TOTAL,"16,084,545"
Seattle/Tacoma International,SEA,2013,1,"1,145,200"
Seattle/Tacoma International,SEA,2013,2,"1,095,454"
Seattle/Tacoma International,SEA,2013,3,"1,329,073"
Seattle/Tacoma International,SEA,2013,4,"1,260,100"
Seattle/Tacoma International,SEA,2013,5,"1,396,238"
Seattle/Tacoma International,SEA,2013,6,"1,600,307"
Seattle/Tacoma International,SEA,2013,7,"1,709,898"
Seattle/Tacoma International,SEA,2013,8,"1,744,096"
Seattle/Tacoma International,SEA,2013,9,"1,422,497"
Seattle/Tacoma International,SEA,2013,10,"1,330,808"
Seattle/Tacoma International,SEA,2013,11,"1,215,450"
Seattle/Tacoma International,SEA,2013,12,"1,392,585"
Seattle/Tacoma International,SEA,2013,TOTAL,"16,641,706"
Seattle/Tacoma International,SEA,2014,1,"1,191,764"
Seattle/Tacoma International,SEA,2014,2,"1,118,062"
Seattle/Tacoma International,SEA,2014,3,"1,356,253"
Seattle/Tacoma International,SEA,2014,4,"1,337,117"
Seattle/Tacoma International,SEA,2014,5,"1,444,717"
Seattle/Tacoma International,SEA,2014,6,"1,708,314"
Seattle/Tacoma International,SEA,2014,7,"1,843,785"
Seattle/Tacoma International,SEA,2014,8,"1,915,331"
Seattle/Tacoma International,SEA,2014,9,"1,547,407"
Seattle/Tacoma International,SEA,2014,10,"1,476,191"
Seattle/Tacoma International,SEA,2014,11,"1,362,618"
Seattle/Tacoma International,SEA,2014,12,"1,538,202"
Seattle/Tacoma International,SEA,2014,TOTAL,"17,839,761"
