Airport,Airport Code,Year,Month,TOTAL
San Francisco International,SFO,2011,7,"1,903,367"
San Francisco International,SFO,2011,8,"1,888,214"
San Francisco International,SFO,2011,9,"1,746,225"
San Francisco International,SFO,2011,10,"1,760,408"
San Francisco International,SFO,2011,11,"1,629,639"
San Francisco International,SFO,2011,12,"1,691,542"
San Francisco International,SFO,2011,TOTAL,"20,048,850"
San Francisco International,SFO,2012,1,"1,509,554"
San Francisco International,SFO,2012,2,"1,439,236"
San Francisco International,SFO,2012,3,"1,684,054"
San Francisco International,SFO,2012,4,"1,706,966"
San Francisco International,SFO,2012,5,"1,845,616"
San Francisco International,SFO,2012,6,"2,003,153"
San Francisco International,SFO,2012,7,"2,014,172"
San Francisco International,SFO,2012,8,"2,078,730"
San Francisco International,SFO,2012,9,"1,790,833"
San Francisco International,SFO,2012,10,"1,844,995"
San Francisco International,SFO,2012,11,"1,680,830"
San Francisco International,SFO,2012,12,"1,693,707"
San Francisco International,SFO,2012,TOTAL,"21,291,846"
San Francisco International,SFO,2013,1,"1,507,466"
San Francisco International,SFO,2013,2,"1,431,715"
San Francisco International,SFO,2013,3,"1,740,293"
San Francisco International,SFO,2013,4,"1,718,163"
San Francisco International,SFO,2013,5,"1,911,033"
San Francisco International,SFO,2013,6,"2,032,052"
San Francisco International,SFO,2013,7,"1,973,388"
San Francisco International,SFO,2013,8,"2,093,221"
San Francisco International,SFO,2013,9,"1,820,044"
San Francisco International,SFO,2013,10,"1,896,285"
San Francisco International,SFO,2013,11,"1,709,024"
San Francisco International,SFO,2013,12,"1,858,223"
San Francisco International,SFO,2013,TOTAL,"21,690,907"
San Francisco International,SFO,2014,1,"1,626,730"
San Francisco International,SFO,2014,2,"1,478,486"
San Francisco International,SFO,2014,3,"1,824,610"
San Francisco International,SFO,2014,4,"1,855,298"
San Francisco International,SFO,2014,5,"2,012,151"
San Francisco International,SFO,2014,6,"2,115,923"
San Francisco International,SFO,2014,7,"2,123,834"
San Francisco International,SFO,2014,8,"2,174,710"
San Francisco International,SFO,2014,9,"1,886,283"
San Francisco International,SFO,2014,10,"1,985,767"
San Francisco International,SFO,2014,11,"1,772,224"
San Francisco International,SFO,2014,12,"1,886,802"
San Francisco International,SFO,2014,TOTAL,"22,742,818"
San Francisco International,SFO,2015,1,"1,678,842"
San Francisco International,SFO,2015,2,"1,561,581"
San Francisco International,SFO,2015,3,"1,941,744"
San Francisco International,SFO,2015,4,"1,932,954"
San Francisco International,SFO,2015,5,"2,123,643"
San Francisco International,SFO,2015,6,"2,227,967"
San Francisco International,SFO,2015,7,"2,278,219"
San Francisco International,SFO,2015,8,"2,286,858"
San Francisco International,SFO,2015,9,"2,044,878"
San Francisco International,SFO,2015,10,"2,155,113"
San Francisco International,SFO,2015,11,"1,961,415"
San Francisco International,SFO,2015,12,"2,032,985"
San Francisco International,SFO,2015,TOTAL,"24,226,199"
San Francisco International,SFO,2016,1,"1,767,049"
San Francisco International,SFO,2016,2,"1,699,789"
San Francisco International,SFO,2016,3,"2,032,626"
San Francisco International,SFO,2016,4,"1,997,912"
San Francisco International,SFO,2016,5,"2,215,034"
San Francisco International,SFO,2016,6,"2,430,338"
San Francisco International,SFO,2016,7,"2,459,398"
San Francisco International,SFO,2016,8,"2,436,233"
San Francisco International,SFO,2016,9,"2,197,311"
San Francisco International,SFO,2016,10,"2,219,626"
San Francisco International,SFO,2016,11,"2,083,475"
San Francisco International,SFO,2016,12,"2,159,177"
San Francisco International,SFO,2016,TOTAL,"25,697,968"
San Francisco International,SFO,2017,1,"1,809,403"
San Francisco International,SFO,2017,2,"1,679,083"
San Francisco International,SFO,2017,3,"2,114,381"
San Francisco International,SFO,2017,4,"2,105,719"
San Francisco International,SFO,2017,5,"2,263,721"
San Francisco International,SFO,2017,6,"2,537,499"
San Francisco International,SFO,2017,7,"2,600,015"
San Francisco International,SFO,2017,8,"2,620,899"
San Francisco International,SFO,2017,9,"2,281,260"
San Francisco International,SFO,2017,10,"2,350,187"
San Francisco International,SFO,2017,11,"2,227,269"
San Francisco International,SFO,2017,12,"2,302,823"
San Francisco International,SFO,2017,TOTAL,"26,892,259"
San Francisco International,SFO,2018,1,"1,934,866"
San Francisco International,SFO,2018,2,"1,867,099"
San Francisco International,SFO,2018,3,"2,268,561"
San Francisco International,SFO,2018,4,"2,240,249"
San Francisco International,SFO,2018,5,"2,426,167"
San Francisco International,SFO,2018,6,"2,680,467"
San Francisco International,SFO,2018,7,"2,703,963"
San Francisco International,SFO,2018,8,"2,673,309"
San Francisco International,SFO,2018,9,"2,208,377"
San Francisco International,SFO,2018,10,"2,366,695"
San Francisco International,SFO,2018,11,"2,203,028"
San Francisco International,SFO,2018,12,"2,269,222"
San Francisco International,SFO,2018,TOTAL,"27,842,003"
San Francisco International,SFO,2019,1,"1,931,229"
San Francisco International,SFO,2019,2,"1,799,371"
San Francisco International,SFO,2019,3,"2,243,131"
San Francisco International,SFO,2019,4,"2,221,331"
San Francisco International,SFO,2019,5,"2,428,756"
San Francisco International,SFO,2019,6,"2,706,127"
San Francisco International,SFO,2019,7,"2,662,551"
San Francisco International,SFO,2019,8,"2,753,946"
San Francisco International,SFO,2019,9,"2,134,014"
San Francisco International,SFO,2019,10,"2,342,302"
San Francisco International,SFO,2019,11,"2,162,097"
San Francisco International,SFO,2019,12,"2,321,587"
San Francisco International,SFO,2019,TOTAL,"27,706,442"
San Francisco International,SFO,2020,1,"1,973,184"
San Francisco International,SFO,2020,2,"1,774,650"
San Francisco International,SFO,2020,3,"871,464"
San Francisco International,SFO,2020,4,"68,094"
San Francisco International,SFO,2020,5,"127,814"
San Francisco International,SFO,2020,6,"261,027"
San Francisco International,SFO,2020,7,"360,317"
San Francisco International,SFO,2020,8,"400,089"
San Francisco International,SFO,2020,9,"430,840"
San Francisco International,SFO,2020,10,"510,467"
San Francisco International,SFO,2020,11,"502,492"
San Francisco International,SFO,2020,12,"455,040"
San Francisco International,SFO,2020,TOTAL,"7,735,478"
San Francisco International,SFO,2021,1,"342,446"
San Francisco International,SFO,2021,2,"341,542"
San Francisco International,SFO,2021,3,"549,361"
San Francisco International,SFO,2021,4,"683,093"
San Francisco International,SFO,2021,5,"842,558"
San Francisco International,SFO,2021,6,"1,125,180"
San Francisco International,SFO,2021,7,"1,324,551"
San Francisco International,SFO,2021,8,"1,253,832"
San Francisco International,SFO,2021,9,"1,165,687"
San Francisco International,SFO,2021,10,"1,294,487"
San Francisco International,SFO,2021,11,"1,363,452"
San Francisco International,SFO,2021,12,"1,430,262"
San Francisco International,SFO,2021,TOTAL,"11,716,451"
San Francisco International,SFO,2022,1,
San Francisco International,SFO,2022,2,
San Francisco International,SFO,2022,3,
San Francisco International,SFO,2022,TOTAL,0
