Airport,Airport Code,Year,Month,TOTAL
Chicago Midway International,MDW,2011,6,"853,925"
Chicago Midway International,MDW,2011,7,"881,360"
Chicago Midway International,MDW,2011,8,"835,504"
Chicago Midway International,MDW,2011,9,"746,338"
Chicago Midway International,MDW,2011,10,"815,695"
Chicago Midway International,MDW,2011,11,"751,904"
Chicago Midway International,MDW,2011,12,"746,039"
Chicago Midway International,MDW,2011,TOTAL,"9,119,181"
Chicago Midway International,MDW,2012,1,"605,587"
Chicago Midway International,MDW,2012,2,"591,004"
Chicago Midway International,MDW,2012,3,"817,221"
Chicago Midway International,MDW,2012,4,"769,474"
Chicago Midway International,MDW,2012,5,"830,349"
Chicago Midway International,MDW,2012,6,"892,558"
Chicago Midway International,MDW,2012,7,"916,335"
Chicago Midway International,MDW,2012,8,"880,814"
Chicago Midway International,MDW,2012,9,"762,405"
Chicago Midway International,MDW,2012,10,"849,722"
Chicago Midway International,MDW,2012,11,"754,261"
Chicago Midway International,MDW,2012,12,"748,770"
Chicago Midway International,MDW,2012,TOTAL,"9,418,500"
Chicago Midway International,MDW,2013,1,"621,060"
Chicago Midway International,MDW,2013,2,"596,490"
Chicago Midway International,MDW,2013,3,"834,508"
Chicago Midway International,MDW,2013,4,"787,234"
Chicago Midway International,MDW,2013,5,"901,812"
Chicago Midway International,MDW,2013,6,"949,663"
Chicago Midway International,MDW,2013,7,"960,867"
Chicago Midway International,MDW,2013,8,"922,097"
Chicago Midway International,MDW,2013,9,"826,247"
Chicago Midway International,MDW,2013,10,"871,754"
Chicago Midway International,MDW,2013,11,"779,287"
Chicago Midway International,MDW,2013,12,"842,965"
Chicago Midway International,MDW,2013,TOTAL,"9,893,984"
Chicago Midway International,MDW,2014,1,"573,737"
Chicago Midway International,MDW,2014,2,"604,769"
Chicago Midway International,MDW,2014,3,"871,034"
Chicago Midway International,MDW,2014,4,"862,544"
Chicago Midway International,MDW,2014,5,"927,244"
Chicago Midway International,MDW,2014,6,"981,833"
Chicago Midway International,MDW,2014,7,"1,030,962"
Chicago Midway International,MDW,2014,8,"988,242"
Chicago Midway International,MDW,2014,9,"851,569"
Chicago Midway International,MDW,2014,10,"927,855"
Chicago Midway International,MDW,2014,11,"811,939"
Chicago Midway International,MDW,2014,12,"861,058"
Chicago Midway International,MDW,2014,TOTAL,"10,292,786"
Chicago Midway International,MDW,2015,1,"682,344"
Chicago Midway International,MDW,2015,2,"637,169"
Chicago Midway International,MDW,2015,3,"900,606"
Chicago Midway International,MDW,2015,4,"889,527"
Chicago Midway International,MDW,2015,5,"950,447"
Chicago Midway International,MDW,2015,6,"1,015,258"
Chicago Midway International,MDW,2015,7,"1,092,451"
Chicago Midway International,MDW,2015,8,"1,019,325"
Chicago Midway International,MDW,2015,9,"933,269"
Chicago Midway International,MDW,2015,10,"995,036"
Chicago Midway International,MDW,2015,11,"848,191"
Chicago Midway International,MDW,2015,12,"840,909"
Chicago Midway International,MDW,2015,TOTAL,"10,804,532"
Chicago Midway International,MDW,2016,1,"726,562"
Chicago Midway International,MDW,2016,2,"673,639"
Chicago Midway International,MDW,2016,3,"909,335"
Chicago Midway International,MDW,2016,4,"912,160"
Chicago Midway International,MDW,2016,5,"993,066"
Chicago Midway International,MDW,2016,6,"1,041,761"
Chicago Midway International,MDW,2016,7,"1,037,913"
Chicago Midway International,MDW,2016,8,"1,026,678"
Chicago Midway International,MDW,2016,9,"960,136"
Chicago Midway International,MDW,2016,10,"1,001,108"
Chicago Midway International,MDW,2016,11,"892,179"
Chicago Midway International,MDW,2016,12,"852,018"
Chicago Midway International,MDW,2016,TOTAL,"11,026,555"
Chicago Midway International,MDW,2017,1,"700,921"
Chicago Midway International,MDW,2017,2,"653,273"
Chicago Midway International,MDW,2017,3,"920,041"
Chicago Midway International,MDW,2017,4,"903,946"
Chicago Midway International,MDW,2017,5,"964,456"
Chicago Midway International,MDW,2017,6,"1,026,820"
Chicago Midway International,MDW,2017,7,"1,063,470"
Chicago Midway International,MDW,2017,8,"1,018,189"
Chicago Midway International,MDW,2017,9,"886,431"
Chicago Midway International,MDW,2017,10,"965,655"
Chicago Midway International,MDW,2017,11,"901,371"
Chicago Midway International,MDW,2017,12,"883,173"
Chicago Midway International,MDW,2017,TOTAL,"10,887,746"
Chicago Midway International,MDW,2018,1,"727,860"
Chicago Midway International,MDW,2018,2,"615,012"
Chicago Midway International,MDW,2018,3,"921,823"
Chicago Midway International,MDW,2018,4,"885,676"
Chicago Midway International,MDW,2018,5,"961,749"
Chicago Midway International,MDW,2018,6,"1,005,832"
Chicago Midway International,MDW,2018,7,"1,039,106"
Chicago Midway International,MDW,2018,8,"966,015"
Chicago Midway International,MDW,2018,9,"859,858"
Chicago Midway International,MDW,2018,10,"946,794"
Chicago Midway International,MDW,2018,11,"873,318"
Chicago Midway International,MDW,2018,12,"851,599"
Chicago Midway International,MDW,2018,TOTAL,"10,654,642"
Chicago Midway International,MDW,2019,1,"629,982"
Chicago Midway International,MDW,2019,2,"620,445"
Chicago Midway International,MDW,2019,3,"879,444"
Chicago Midway International,MDW,2019,4,"842,241"
Chicago Midway International,MDW,2019,5,"914,866"
Chicago Midway International,MDW,2019,6,"921,091"
Chicago Midway International,MDW,2019,7,"934,252"
Chicago Midway International,MDW,2019,8,"915,870"
Chicago Midway International,MDW,2019,9,"837,226"
Chicago Midway International,MDW,2019,10,"924,898"
Chicago Midway International,MDW,2019,11,"790,606"
Chicago Midway International,MDW,2019,12,"852,891"
Chicago Midway International,MDW,2019,TOTAL,"10,063,812"
Chicago Midway International,MDW,2020,1,"643,820"
Chicago Midway International,MDW,2020,2,"617,757"
Chicago Midway International,MDW,2020,3,"344,767"
Chicago Midway International,MDW,2020,4,"32,510"
Chicago Midway International,MDW,2020,5,"136,849"
Chicago Midway International,MDW,2020,6,"341,405"
Chicago Midway International,MDW,2020,7,"345,450"
Chicago Midway International,MDW,2020,8,"328,734"
Chicago Midway International,MDW,2020,9,"340,571"
Chicago Midway International,MDW,2020,10,"380,490"
Chicago Midway International,MDW,2020,11,"322,815"
Chicago Midway International,MDW,2020,12,"395,881"
Chicago Midway International,MDW,2020,TOTAL,"4,231,049"
Chicago Midway International,MDW,2021,1,"317,034"
Chicago Midway International,MDW,2021,2,"315,237"
Chicago Midway International,MDW,2021,3,"530,041"
Chicago Midway International,MDW,2021,4,"560,805"
Chicago Midway International,MDW,2021,5,"681,227"
Chicago Midway International,MDW,2021,6,"778,962"
Chicago Midway International,MDW,2021,7,"868,079"
Chicago Midway International,MDW,2021,8,"807,280"
Chicago Midway International,MDW,2021,9,"731,652"
Chicago Midway International,MDW,2021,10,"760,476"
Chicago Midway International,MDW,2021,11,"676,745"
Chicago Midway International,MDW,2021,12,"641,918"
Chicago Midway International,MDW,2021,TOTAL,"7,669,456"
Chicago Midway International,MDW,2022,1,
Chicago Midway International,MDW,2022,2,
Chicago Midway International,MDW,2022,3,
Chicago Midway International,MDW,2022,TOTAL,0
