Airport,Airport Code,Year,Month,TOTAL
Washington Dulles International,IAD,2012,6,"1,016,857"
Washington Dulles International,IAD,2012,7,"1,000,200"
Washington Dulles International,IAD,2012,8,"985,006"
Washington Dulles International,IAD,2012,9,"874,784"
Washington Dulles International,IAD,2012,10,"864,500"
Washington Dulles International,IAD,2012,11,"843,288"
Washington Dulles International,IAD,2012,12,"865,224"
Washington Dulles International,IAD,2012,TOTAL,"10,785,523"
Washington Dulles International,IAD,2013,1,"771,430"
Washington Dulles International,IAD,2013,2,"685,085"
Washington Dulles International,IAD,2013,3,"870,330"
Washington Dulles International,IAD,2013,4,"853,161"
Washington Dulles International,IAD,2013,5,"957,753"
Washington Dulles International,IAD,2013,6,"1,003,897"
Washington Dulles International,IAD,2013,7,"1,000,471"
Washington Dulles International,IAD,2013,8,"987,020"
Washington Dulles International,IAD,2013,9,"854,707"
Washington Dulles International,IAD,2013,10,"887,745"
Washington Dulles International,IAD,2013,11,"808,416"
Washington Dulles International,IAD,2013,12,"863,806"
Washington Dulles International,IAD,2013,TOTAL,"10,543,821"
Washington Dulles International,IAD,2014,1,"728,987"
Washington Dulles International,IAD,2014,2,"622,026"
Washington Dulles International,IAD,2014,3,"837,979"
Washington Dulles International,IAD,2014,4,"869,074"
Washington Dulles International,IAD,2014,5,"959,877"
Washington Dulles International,IAD,2014,6,"981,619"
Washington Dulles International,IAD,2014,7,"983,178"
Washington Dulles International,IAD,2014,8,"977,205"
Washington Dulles International,IAD,2014,9,"874,799"
Washington Dulles International,IAD,2014,10,"916,037"
Washington Dulles International,IAD,2014,11,"786,185"
Washington Dulles International,IAD,2014,12,"856,163"
Washington Dulles International,IAD,2014,TOTAL,"10,393,129"
Washington Dulles International,IAD,2015,1,"713,934"
Washington Dulles International,IAD,2015,2,"608,110"
Washington Dulles International,IAD,2015,3,"795,513"
Washington Dulles International,IAD,2015,4,"853,992"
Washington Dulles International,IAD,2015,5,"968,522"
Washington Dulles International,IAD,2015,6,"988,818"
Washington Dulles International,IAD,2015,7,"972,695"
Washington Dulles International,IAD,2015,8,"1,011,044"
Washington Dulles International,IAD,2015,9,"891,149"
Washington Dulles International,IAD,2015,10,"919,554"
Washington Dulles International,IAD,2015,11,"806,960"
Washington Dulles International,IAD,2015,12,"844,989"
Washington Dulles International,IAD,2015,TOTAL,"10,375,280"
Washington Dulles International,IAD,2016,1,"665,050"
Washington Dulles International,IAD,2016,2,"632,691"
Washington Dulles International,IAD,2016,3,"813,660"
Washington Dulles International,IAD,2016,4,"813,237"
Washington Dulles International,IAD,2016,5,"954,400"
Washington Dulles International,IAD,2016,6,"1,026,417"
Washington Dulles International,IAD,2016,7,"1,054,475"
Washington Dulles International,IAD,2016,8,"1,025,212"
Washington Dulles International,IAD,2016,9,"920,430"
Washington Dulles International,IAD,2016,10,"932,709"
Washington Dulles International,IAD,2016,11,"849,802"
Washington Dulles International,IAD,2016,12,"884,861"
Washington Dulles International,IAD,2016,TOTAL,"10,572,944"
Washington Dulles International,IAD,2017,1,"757,253"
Washington Dulles International,IAD,2017,2,"632,417"
Washington Dulles International,IAD,2017,3,"819,768"
Washington Dulles International,IAD,2017,4,"911,769"
Washington Dulles International,IAD,2017,5,"985,634"
Washington Dulles International,IAD,2017,6,"1,082,971"
Washington Dulles International,IAD,2017,7,"1,090,038"
Washington Dulles International,IAD,2017,8,"1,060,550"
